TIME                           PID  UID  GID SIG     COREFILE EXE                                                SIZE
Sun 2023-05-07 12:37:12 AEST 16770 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:38:34 AEST 16959 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:39:09 AEST 17118 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:39:46 AEST 17261 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:40:02 AEST 17353 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:40:10 AEST 17437 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:40:15 AEST 17489 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:40:24 AEST 17550 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:44:52 AEST 18116 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:47:31 AEST 18557 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:47:58 AEST 18700 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:48:06 AEST 18782 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:48:12 AEST 18835 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:49:25 AEST 18983 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:49:32 AEST 19064 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:49:38 AEST 19117 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:49:55 AEST 19189 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:54:14 AEST 20019 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:54:33 AEST 20130 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:54:41 AEST 20211 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:57:15 AEST 20506 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:57:32 AEST 20599 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:58:13 AEST 20718 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 13:00:05 AEST 21153 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 13:00:54 AEST 21307 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 13:01:22 AEST 21414 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 13:08:41 AEST 23249 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 13:08:45 AEST 23334 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 13:08:57 AEST 23452 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 13:09:21 AEST 23617 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 13:09:34 AEST 23722 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 13:09:47 AEST 23829 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 13:11:23 AEST 24356 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 16:05:46 AEST 24537 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 17:32:58 AEST 29378 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
Sun 2023-05-07 17:36:43 AEST 30188 1000 1000 SIGABRT present  /home/lily/Programing/Symmetrical Guide/build/main 2.2M
